Artist,Position,Title,Year
Mary Wells,70,You Beat Me to the Punch,1962
Barbara Lynn,71,You'll Lose a Good Thing,1962
The Crystals,72,Uptown,1962
Brenda Lee,73,Everybody Loves Me But You,1962
Dickie Lee,74,Patches,1962
Jimmy Clanton,75,Venus In Blue Jeans,1962
Paul Anka,76,Love Me Warm and Tender,1962
Rick Nelson,77,Teenage Idol,1962
Patsy Cline,78,She's Got You,1962
Larry Finnegan,79,Dear One,1962
James Darren,80,Her Royal Majesty,1962
Walter Brennan,81,Old Rivers,1962
Burl Ives,82,Funny Way of Laughin',1962
Billy Vaughn,83,A Swingin' Safari,1962
Dick & Deedee,84,Tell Me,1962
Jimmy Dean,85,P.T. 109,1962
Dion,86,Little Diane,1962
Billy Joe & The Checkmates,87,Percolator (Twist),1962
"Gary ""U.S."" Bonds",88,"Twist, Twist Senora",1962
Jimmy Soul,89,Twistin' Matilda (And the Channel),1962
Dee Dee Sharp,90,Gravy (For My Mashed Potatoes),1962
Jimmy Smith,91,Walk On the Wild Side,1962
King Curtis,92,Soul Twist,1962
Bobby Rydell,93,I'll Never Dance Again,1962
The Ikettes,94,I'm Blue (The Gong-Gong Song),1962
The Kingston Trio,95,Where Have All The Flowers Gone,1962
Eddie Hodges,96,(Girls Girls Girls Were) Made To Love,1962
Gene Pitney,97,Town Without Pity,1962
"Peter, Paul & Mary",98,If I Had a Hammer,1962
lites,99,I Wish That We Were Married - Ronnie & The Hi,1962
The Beach Boys,100,Surfin' Safari,1962
Jimmy Gilmer and The Fireballs,1,Sugar Shack,1963
The Beach Boys,1,Surfin' U.S.A.,1963
Skeeter Davis,3,The End of the World,1963
The Cascades,4,Rhythm of the Rain,1963
The Chiffons,5,He's So Fine,1963
Bobby Vinton,6,Blue Velvet,1963
Paul and Paula,7,Hey Paula,1963
Little Stevie Wonder,8,"Fingertips, Pt. 2",1963
Village Stompers,9,Washington Square,1963
The Impressions,10,It's All Right,1963
Andy Williams,11,Can't Get Used to Losing You,1963
The Angels,12,My Boyfriend's Back,1963
Kyu Sakamoto,13,Sukiyaki,1963
Lesley Gore,14,She's a Fool,1963
The Tymes,15,So Much In Love,1963
"Peter, Paul and Mary",16,"Puff, the Magic Dragon",1963
"Peter, Paul and Mary",17,Blowin' In the Wind,1963
Dale and Grace,18,I'm Leaving It All Up to You,1963
Nino Tempo and April Stevens,19,Deep Purple,1963
The Surfaris,20,Wipe Out,1963
Al Martino,21,I Love You Because,1963
The Rockin' Rebels,22,Wild Weekend,1963
Bobby Darin,23,You're the Reason I'm Living,1963
Four Seasons,24,Walk Like a Man,1963
Inez and Charlie Foxx,25,Mockingbird,1963
Little Peggy March,26,I Will Follow Him,1963
The Chantays,27,Pipeline,1963
Jan and Dean,28,Surf City,1963
Lesley Gore,29,It's My Party,1963
Eydie Gorme,30,Blame It On The Bossa Nova,1963
The Dovells,31,You Can't Sit Down,1963
Martha and The Vandellas,32,Heat Wave,1963
Randy and The Rainbows,33,Denise,1963
The Rooftop Singers,34,Walk Right In,1963
Jimmy Soul,35,If You Wanna Be Happy,1963
The Beach Boys,36,Surfer Girl,1963
Trini Lopez,37,If I Had a Hammer,1963
Tommy Roe,38,Everybody,1963
Essex,39,Easier Said Than Done,1963
Dion,40,Ruby Baby,1963
Los Indios Tabajaras,41,Maria Elena,1963
Ruby and The Romantics,42,Our Day Will Come,1963
Skeeter Davis,43,I Can't Stay Mad At You,1963
Barbara Lewis,44,Hello Stranger,1963
The Ronettes,45,Be My Baby,1963
Roy Orbison,46,Mean Woman Blues,1963
The Orlons,47,South Street,1963
Henry Mancini,48,Days of Wine and Roses,1963
Major Lance,49,The Monkey Time,1963
The Four Seasons,50,Candy Girl,1963
Bill Anderson,51,Stil,1963
Bobby Vinton,52,Blue On Blue,1963
Garnet Mimms and The Enchanters,53,Cry Baby',1963
Lou Christie,54,Two Faces Have I,1963
Ray Charles,55,Busted,1963
The Crystals,56,Da Doo Ron Ron,1963
The Shirelles,57,Foolish Little Girl,1963
Lonnie Mack,58,Memphis,1963
Roy Orbison,59,In Dreams,1963
Kai Winding,60,More,1963
Rick Nelson,61,Fools Rush In,1963
Brenda Lee,62,Losing You,1963
Bill Pursell,63,Our Winter Love,1963
Tony Bennett,64,I Wanna Be Around...,1963
The Miracles,65,You've Really Got a Hold On Me,1963
The Jaynetts,66,Sally Go 'Round the Roses,1963
Sam Cooke,67,Little Red Rooster,1963
The Crystals,68,And Then He Kissed Me,1963
Elvis Presley,69,(You're The) Devil In Disguise,1963
Nat King Cole,70,"Those Lazy, Hazy, Crazy Days of Summer",1963
Jackie Wilson,71,Baby Workout,1963
Marvin Gaye,72,Pride and Joy,1963
Rufus Thomas,73,Walking the Dog,1963
Ned Miller,74,From A Jack To A King,1963
The Drifters,75,Up On the Roof,1963
Johnny Mathis,76,What Will My Mary Say,1963
Jan Bradley,77,Mama Didn't Lie,1963
Bobby Vee,78,The Night Has a Thousand Eyes,1963
The Cookies,79,Don't Say Nothin' (Bad About My Baby),1963
Johnny Cash,80,Ring of Fire,1963
Doris Troy,81,Just One Look,1963
Allan Sherman,82,"Hello Muddah, Hello Faddah (A Letter from Camp)",1963
Lesley Gore,83,Judy's Turn to Cry,1963
Rolf Harris,84,Tie Me Kangaroo Down Sport,1963
The Miracles,85,Mickey's Monkey,1963
Dion,86,Donna the Prima Donna,1963
Nat King Cole,87,"That Sunday, That Summer",1963
Sam Cooke,88,Another Saturday Night,1963
Al Martino,89,"Painted, Tainted Rose",1963
Dixiebelles With Cornbread and Jerry,90,(Down At) Papa Joe's,1963
Steve Lawrence,91,Go Away Little Girl,1963
Ray Charles,92,Take These Chains from My Heart,1963
Sunny and The Sunglows,93,Talk To Me,1963
Martha and The Vandellas,94,Come and Get These Memories,1963
Elvis Presley,95,Bossa Nova Baby,1963
Dee Dee Sharp,96,Do the Bird,1963
The Beach Boys,97,Shut Down,1963
The Chiffons,98,One Fine Day,1963
Bobby Bare,99,500 Miles Away from Home,1963
Del Shannon,100,Little Town Flirt,1963
The Beatles,1,I Want to Hold Your Hand,1964
The Beatles,2,She Loves You,1964
Louis Armstrong,3,"Hello, Dolly!",1964
Roy Orbison,4,"Oh, Pretty Woman",1964
The Beach Boys,5,I Get Around,1964
Dean Martin,6,Everybody Loves Somebody,1964
Mary Wells,7,My Guy,1964
Gale Garnett,8,We'll Sing In the Sunshine,1964
J. Frank Wilson & The Cavaliers,9,Last Kiss,1964
The Supremes,10,Where Did Our Love Go,1964
Barbra Streisand,11,People,1964
Al Hirt,12,Java,1964
The Beatles,13,A Hard Day's Night,1964
The Beatles,14,Love Me Do,1964
