Year,Artist,Title,URL,TrackId,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,Album,Image,Explicit,Popularity,Preview,Winner
1999,Blackmore's Night,Catherine Howard's Fate,https://open.spotify.com/track/5myNs5DKjR2UfJUVndXdZm,5myNs5DKjR2UfJUVndXdZm,0.9740000000000001,0.752,154200.0,0.242,8.18e-06,0.0,0.124,-12.5,0.0,0.0413,101.89200000000001,4.0,0.41100000000000003,Under a Violet Moon,https://i.scdn.co/image/09ab05f2be94bb44c8ee8bcdf6f56439c2313b21,False,31.0,https://p.scdn.co/mp3-preview/036293dd1e01c8077b7c815f3963b68edd003dee?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Beth Orton,Central Reservation,https://open.spotify.com/track/62HW7vdBKH5O2SvhoC2iqN,62HW7vdBKH5O2SvhoC2iqN,0.0595,0.7070000000000001,243987.0,0.5870000000000001,3.99e-06,7.0,0.26,-6.37,1.0,0.0389,119.882,4.0,0.386,Central Reservation,https://i.scdn.co/image/149292348df281ab6231e7399ee97135122b62a7,False,27.0,https://p.scdn.co/mp3-preview/17206e559bd5fccd23ebb05e9d3d66d5edd21208?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Bicycle Thief,Cereal Song,https://open.spotify.com/track/6SdoK2kaEtCvfePPwO6szE,6SdoK2kaEtCvfePPwO6szE,0.364,0.68,130840.0,0.638,0.0,11.0,0.0489,-9.362,0.0,0.125,187.046,4.0,0.9420000000000001,Tunafish Sandwich,https://i.scdn.co/image/3fef8ca64974d3fc6f99c8f23d6fb99337335479,False,12.0,https://p.scdn.co/mp3-preview/798179b2a63c0e64e1c0057d07b87ac6dab3a233?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Kittie,Charlotte,https://open.spotify.com/track/3pHEed1PwjuELFqPskbuLO,3pHEed1PwjuELFqPskbuLO,0.000417,0.46399999999999997,237067.0,0.93,0.675,0.0,0.0854,-5.632999999999999,1.0,0.0558,153.972,4.0,0.377,Spit,https://i.scdn.co/image/996e9c95673f085e856a1abfeb74e020c5188f90,False,40.0,https://p.scdn.co/mp3-preview/c248753174a57184e64aed9cc478a4200ceace51?cid=bca78196e824433fbdf88ec18d84825f,0
1999,No Use for a Name,Chasing Rainbows,https://open.spotify.com/track/4QvUSnUGN8WDnwKfFjB6fR,4QvUSnUGN8WDnwKfFjB6fR,0.00018999999999999998,0.33399999999999996,168973.0,0.9329999999999999,0.0,0.0,0.0391,-6.004,1.0,0.0496,127.427,4.0,0.802,More Betterness!,https://i.scdn.co/image/f735129d2ff96bb6a427476ea686babb78d44e4b,False,32.0,https://p.scdn.co/mp3-preview/dc24bde5925f86201cd9cb4394eb5ee9fb9648b8?cid=bca78196e824433fbdf88ec18d84825f,0
1999,The Aquabats,Chemical Bomb,https://open.spotify.com/track/2CLG8mc1f4Ottpgf0YoCYK,2CLG8mc1f4Ottpgf0YoCYK,0.6659999999999999,0.5670000000000001,188867.0,0.622,0.0037600000000000003,1.0,0.293,-8.436,0.0,0.0382,151.401,4.0,0.752,"The Aquabats! vs the Floating Eye of Death! and Other Amazing Adventures, Vol. 1",https://i.scdn.co/image/439bd9464f27741c33840641004d1639babc71ca,False,43.0,https://p.scdn.co/mp3-preview/169dac4b4a3722190465aee3459bc93739168d07?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Kittie,Choke,https://open.spotify.com/track/1nw9m6DNPuUuwtkG2J4eG1,1nw9m6DNPuUuwtkG2J4eG1,0.00011399999999999999,0.44299999999999995,245867.0,0.753,0.27399999999999997,4.0,0.11,-6.886,0.0,0.0356,92.05,4.0,0.722,Spit,https://i.scdn.co/image/996e9c95673f085e856a1abfeb74e020c5188f90,False,28.0,https://p.scdn.co/mp3-preview/e947fbb900f150f477db42bb25b7a29ecbb81f7e?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Blur,Coffee & TV,https://open.spotify.com/track/5eSllZgRWCIJsDTAqFRwQw,5eSllZgRWCIJsDTAqFRwQw,0.0354,0.733,319227.0,0.7809999999999999,0.261,1.0,0.0878,-8.274,0.0,0.0367,121.61399999999999,4.0,0.965,13,https://i.scdn.co/image/8da078d4f4c45805f9e77b5a2416f9f41a812069,False,63.0,https://p.scdn.co/mp3-preview/91936c94d51d132cd0aea95903130de0321e8af7?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Tom Waits,Cold Water,https://open.spotify.com/track/4fLJXSNaiUAJterINCu90e,4fLJXSNaiUAJterINCu90e,0.526,0.41,323027.0,0.439,1.2e-06,9.0,0.114,-8.619,1.0,0.0482,87.566,4.0,0.515,Mule Variations (Remastered),https://i.scdn.co/image/cd9b8dd78998802eb451bd962c1dd6f6fc1475ad,False,34.0,https://p.scdn.co/mp3-preview/5801287ad0c6b885cedd67fd3077037f15cb5278?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Christina Aguilera,Come On Over Baby (All I Want Is You),https://open.spotify.com/track/7A0apkTSTvMbSI7yplcmlh,7A0apkTSTvMbSI7yplcmlh,0.226,0.8290000000000001,203333.0,0.915,1.25e-05,8.0,0.24600000000000002,-3.205,1.0,0.106,118.90299999999999,4.0,0.779,Christina Aguilera (Expanded Edition),https://i.scdn.co/image/73c0dbc68189fc0122defd93c5f51f5b11d28983,False,62.0,https://p.scdn.co/mp3-preview/3e157a2bc80b66474fe111ded3a7dec6a68a0160?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Tom Waits,Come On Up To The House,https://open.spotify.com/track/7zhbOCrOKbncbqKvSwQx9R,7zhbOCrOKbncbqKvSwQx9R,0.619,0.562,276920.0,0.49700000000000005,0.518,3.0,0.11599999999999999,-8.522,1.0,0.0333,90.03299999999999,4.0,0.514,Mule Variations (Remastered),https://i.scdn.co/image/cd9b8dd78998802eb451bd962c1dd6f6fc1475ad,False,46.0,https://p.scdn.co/mp3-preview/551f96e61475e9e9f49216ad5f64c13a8b2dc9dc?cid=bca78196e824433fbdf88ec18d84825f,0
1999,311,Come Original,https://open.spotify.com/track/7LG5qAX1r73gafhxvzu28K,7LG5qAX1r73gafhxvzu28K,0.0105,0.654,222360.0,0.976,8.02e-06,11.0,0.124,-5.632000000000001,0.0,0.0594,93.89399999999999,4.0,0.78,Greatest Hits '93 - '03,https://i.scdn.co/image/5ba417073d9e2c0dc4e9bf4f43966e29c1f6e9d0,False,46.0,https://p.scdn.co/mp3-preview/9845d67078864c2dc32a20d7147e13ff029311d0?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Dixie Chicks,Cowboy Take Me Away,https://open.spotify.com/track/3rXCZRMiMZp0feGcYXpwYX,3rXCZRMiMZp0feGcYXpwYX,0.365,0.467,287267.0,0.622,0.00527,6.0,0.0982,-7.255,1.0,0.031,164.418,4.0,0.455,Fly,https://i.scdn.co/image/8bad8a270ad51239b84d87f80ddc87c3642addb1,False,68.0,https://p.scdn.co/mp3-preview/cc237b987e1e9c335aebdb07be4358af6a55f258?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Tove Lo,Crazy,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde,2rxQMGVafnNaRaXlRMWPde,0.6759999999999999,0.552,193200.0,0.402,0.0,11.0,0.0928,-7.431,1.0,0.0262,103.31299999999999,4.0,0.382,This One's for You Too (Deluxe Edition),https://i.scdn.co/image/c50079a80882512c415aefd84a0ccfd65d48803c,False,82.0,https://p.scdn.co/mp3-preview/46f30246879a353edb15e19f91eb63376053cace?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Incubus,Crowded Elevator,https://open.spotify.com/track/3t2XFoSpszVXBrmC3AqvyE,3t2XFoSpszVXBrmC3AqvyE,0.000363,0.596,286240.0,0.903,0.0375,9.0,0.177,-4.196000000000001,1.0,0.0382,126.14399999999999,4.0,0.39299999999999996,The Essential Incubus,https://i.scdn.co/image/77d6b53062c0a9d12839708501977b219955e838,False,27.0,https://p.scdn.co/mp3-preview/898aa4d34f97c2025562fb4b8ff94a22c0482140?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Plumb,Damaged,https://open.spotify.com/track/6LydaC85iPVrJQ3fXssQLt,6LydaC85iPVrJQ3fXssQLt,0.47700000000000004,0.621,236653.0,0.627,0.00856,10.0,0.21899999999999997,-11.142000000000001,0.0,0.0298,91.694,4.0,0.335,The Best Of Plumb,https://i.scdn.co/image/f2fd72b9bd820fde2adcd0a537adde3582ce5d0f,False,30.0,https://p.scdn.co/mp3-preview/bd7752e0d2d803330606695815728b136920071f?cid=bca78196e824433fbdf88ec18d84825f,0
