Year,Artist,Title,URL,TrackId,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,Album,Image,Explicit,Popularity,Preview
1963,Eydie Gorme,Blame It On The Bossa Nova,https://open.spotify.com/track/1vOsIiq80fcYONCUEBbzHu,1vOsIiq80fcYONCUEBbzHu,0.529,0.658,154118.0,0.394,0.0,1.0,0.197,-15.838,1.0,0.0422,79.707,4.0,0.968,Blame It On The Bossa Nova,https://i.scdn.co/image/a5b68c919601291d776f6f8e4faff219bd75770b,False,26.0,https://p.scdn.co/mp3-preview/0f072794136f75ff60498b721ed8bd91ec82c07d?cid=bca78196e824433fbdf88ec18d84825f
1963,The Dovells,You Can't Sit Down,https://open.spotify.com/track/2OlB90BNVMbc2he3pGpqWo,2OlB90BNVMbc2he3pGpqWo,0.155,0.538,139373.0,0.897,0.0,5.0,0.352,-5.586,1.0,0.118,81.823,4.0,0.968,The Best Of The Dovells 1961-1965,https://i.scdn.co/image/123433593a74acd8abe562aa125b8c2dcc2ebdbe,False,21.0,
1963,Martha and The Vandellas,Heat Wave,https://open.spotify.com/track/3VgrSJEKBRT3xmwzpaxxEF,3VgrSJEKBRT3xmwzpaxxEF,0.459,0.624,163053.0,0.61,0.00435,0.0,0.271,-9.186,0.0,0.0543,82.65,4.0,0.759,Heat Wave,https://i.scdn.co/image/46027ce16d7a4525cba1fbeaf577f59735e763f3,False,61.0,
1963,Randy and The Rainbows,Denise,https://open.spotify.com/track/2uyTuHLAB3unDK1vkjViH5,2uyTuHLAB3unDK1vkjViH5,0.432,0.547,118413.0,0.678,0.0,5.0,0.114,-9.841,0.0,0.0416,125.883,4.0,0.895,Lost Hits Of The 60's (All Original Artists & Versions),https://i.scdn.co/image/42a12772e18d4c7f217869d1e1d89822ef83a3cc,False,39.0,
1963,The Rooftop Singers,Walk Right In,https://open.spotify.com/track/4WhT2YADjcU58IUgroWZQZ,4WhT2YADjcU58IUgroWZQZ,0.791,0.681,157267.0,0.66,0.0364,3.0,0.0669,-10.426,1.0,0.0319,130.019,4.0,0.965,Vanguard Visionaries,https://i.scdn.co/image/df4b0942656cbc2844a55a6aadc8f2a8b24a3d3d,False,42.0,
1963,Jimmy Soul,If You Wanna Be Happy,https://open.spotify.com/track/7D97JnBT73FWUh9KmRvP9M,7D97JnBT73FWUh9KmRvP9M,0.695,0.673,143000.0,0.866,0.000231,10.0,0.328,-8.34,1.0,0.0391,93.224,4.0,0.839,"Frank Guida Presents: Jimmy Soul ""If You Wanna Be Happy""",https://i.scdn.co/image/3ec1be6ca38f2cc8903220d79fbc2311d4262493,False,48.0,https://p.scdn.co/mp3-preview/bbf8dbf17546f27593b89697f771927b7a11a920?cid=bca78196e824433fbdf88ec18d84825f
1963,The Beach Boys,Surfer Girl,https://open.spotify.com/track/1AJ5F0FMTC3yFU3ocjy1gE,1AJ5F0FMTC3yFU3ocjy1gE,0.651,0.522,148533.0,0.37,0.0,2.0,0.142,-8.364,1.0,0.0253,105.826,3.0,0.653,Surfer Girl (Remastered),https://i.scdn.co/image/2976ffc1db316901f247d72d359cd03770651f1c,False,51.0,
1963,Trini Lopez,If I Had a Hammer,https://open.spotify.com/track/4JMl6POnS2IPBpVVwDl06P,4JMl6POnS2IPBpVVwDl06P,0.623,0.468,179400.0,0.933,0.0,11.0,0.952,-8.937,0.0,0.0852,85.505,4.0,0.867,Greatest Hits,https://i.scdn.co/image/2f1383e3d68e5115973dc901883a2255f7c17739,False,36.0,https://p.scdn.co/mp3-preview/62d5526135ea1440698b73172a20daf511d3d0ea?cid=bca78196e824433fbdf88ec18d84825f
1963,Tommy Roe,Everybody,https://open.spotify.com/track/4IJcHdY7t0TcHnmjNtPkil,4IJcHdY7t0TcHnmjNtPkil,0.361,0.544,119187.0,0.588,0.0,11.0,0.127,-7.595,0.0,0.0287,142.465,4.0,0.842,Everybody Likes Tommy Roe,https://i.scdn.co/image/bd33849738d392a4f582d6a73201fe4be38cee9e,False,16.0,
1963,Essex,Easier Said Than Done,https://open.spotify.com/track/505DTCZsZ0kIRAgOMWzA8O,505DTCZsZ0kIRAgOMWzA8O,0.437,0.557,201951.0,0.447,0.0,9.0,0.316,-9.682,1.0,0.0345,81.967,4.0,0.345,First & Foremost,https://i.scdn.co/image/9360652fafb3d0ed0c9260053727e855be402631,False,48.0,https://p.scdn.co/mp3-preview/08bceb4867e7b33cbae07920538e485da60bf8e7?cid=bca78196e824433fbdf88ec18d84825f
1963,Dion,Ruby Baby,https://open.spotify.com/track/6QyhpZJvcIPqx1v0UAk3NM,6QyhpZJvcIPqx1v0UAk3NM,0.771,0.646,156867.0,0.653,0.0,4.0,0.155,-10.301,1.0,0.126,121.509,4.0,0.602,The Essential Dion,https://i.scdn.co/image/d676f15a46c9b6d17e58bfd2e7bfab4de4ce4467,False,43.0,https://p.scdn.co/mp3-preview/613e1c12ce2378db8cefe3e4ff8ecbc574dbf0cb?cid=bca78196e824433fbdf88ec18d84825f
1963,Los Indios Tabajaras,Maria Elena,https://open.spotify.com/track/3ygHAK1w3qP4wp83KXUiiu,3ygHAK1w3qP4wp83KXUiiu,0.93,0.665,187867.0,0.0989,0.843,11.0,0.11,-19.132,1.0,0.0458,83.605,4.0,0.591,Maria Elena,https://i.scdn.co/image/86211d3d7c91afeb23c4b9dd1a697397b16309f2,False,43.0,https://p.scdn.co/mp3-preview/2a581547aa3437e9a1100a49e0fbaf3ec17d335f?cid=bca78196e824433fbdf88ec18d84825f
1963,Ruby and The Romantics,Our Day Will Come,https://open.spotify.com/track/3ngYXFSYtF5mHguNCA3JZ0,3ngYXFSYtF5mHguNCA3JZ0,0.679,0.533,154707.0,0.625,0.00044,8.0,0.109,-7.592,1.0,0.0446,92.645,4.0,0.726,Our Day Will Come,https://i.scdn.co/image/1409e1d5a8b7c727ee15bc6dcf371f1f37439bba,False,38.0,
1963,Skeeter Davis,I Can't Stay Mad At You,https://open.spotify.com/track/0ijOfCj9PHvhnrX6WXrQns,0ijOfCj9PHvhnrX6WXrQns,0.657,0.552,126600.0,0.666,3.19e-06,1.0,0.132,-8.507,1.0,0.0309,120.292,4.0,0.914,The Essential Skeeter Davis,https://i.scdn.co/image/3db24fa7427e3c31801a42885179a160c03eaf5e,False,23.0,https://p.scdn.co/mp3-preview/f4eeb405878bbb9e69e2290aa4dc6a7c348904a8?cid=bca78196e824433fbdf88ec18d84825f
